processed_tweets,label,predicted_label
sensasi gimana ya,1.0,"[{'label': 'POSITIVE', 'score': 0.7526388168334961}]"
metaverse bernama jagat merasakan sensasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.9726904630661011}]"
metaversa sensasi bernama jagat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9876704812049866}]"
tahap metaverse bernama jagat merasakan sensasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.959913432598114}]"
tahap awalnamun merasakan sensasi metaverse bernama jagat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9901273846626282}]"
metaverse jagat diluncurkan sensasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.9872236847877502}]"
metaverse bernama jagat masyarakat merasakan sensasi berasa,1.0,"[{'label': 'NEGATIVE', 'score': 0.9830728769302368}]"
metaverse jagat merasakan sensasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.9840770959854126}]"
nama metaverse jagat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9984158873558044}]"
tahap bary merasakan sensasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.6697060465812683}]"
keren metaverse jagat merasakan sensasi semoga berjalan,1.0,"[{'label': 'NEGATIVE', 'score': 0.9813441634178162}]"
merasakan sensasi metaverse bernama jagat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9559156894683838}]"
keren banget guys ngerasain sensasi metaverse jagat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9755138158798218}]"
"peran tni al pengawalan menjaga keamanan wilayah perairan nusantara
tetap semangat maju  jaga lautan tercinta",0.0,"[{'label': 'NEGATIVE', 'score': 0.8583803176879883}]"
"dirancang inklusif lapisan masyarakat

untuk mari bersamasama torehkan sejarah membangun peradaban dunia",1.0,"[{'label': 'NEGATIVE', 'score': 0.970037043094635}]"
"ppu  satgas ops polda kaltim regu a melaksanakan patroli sambang kamtibmas pengamanan ikn
selengkapnya baca",0.0,"[{'label': 'NEGATIVE', 'score': 0.9888293147087097}]"
"gambaran bernama jagat menarik 

kompas menginfokan memainkan platform biaya sepeserpun jadii merasakan sensasi",1.0,"[{'label': 'NEGATIVE', 'score': 0.9855281114578247}]"
membangun bendungan sepaku semoi penyediaan air baku,0.0,"[{'label': 'NEGATIVE', 'score': 0.9190340638160706}]"
meme celetukan ngocol warganet,-1.0,"[{'label': 'NEGATIVE', 'score': 0.7041552662849426}]"
buka ruang kreasi generasi muda seniman ayo generasi muda mari membangun bersamasama inovasi kreativitas peluncuran jagat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9935275912284851}]"
tenaga kerja pelatihan,0.0,"[{'label': 'NEGATIVE', 'score': 0.8898427486419678}]"
"menteri ketenagakerjaan ida fauziyah kebutuhan tenaga kerja disesuaikan

jokowi gaspoll penyerapan tenaga kerja",0.0,"[{'label': 'NEGATIVE', 'score': 0.9937240481376648}]"
"menteri pupr basuki hadimuljono bendungan sepaku semoi diproyeksikan infrastruktur penyediaan kebutuhan air baku pengendalian banjir ikn

jokowi gaspoll infrastruktur",0.0,"[{'label': 'NEGATIVE', 'score': 0.968986988067627}]"
pindah terletak penajam paser utara kaltim resmi pindah nasib dki jakarta,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9695651531219482}]"
"nusantara
terun ya",0.0,"[{'label': 'NEGATIVE', 'score': 0.6632464528083801}]"
"asosiasi pengemudi ojek online garda mendukung timur

pembangunan membutuhkan  tenaga kerja konstruksi garda bekerjasama dgn kemnaker ri pupr",1.0,"[{'label': 'NEGATIVE', 'score': 0.9840766787528992}]"
"resmi meluncurkan platform metaverse terhubung djakarta theatre jakarta jumat 

pray for itaewon rest in peace kanjuruhan pare pagii",0.0,"[{'label': 'NEGATIVE', 'score': 0.9484118819236755}]"
gimana warga metaverse jagat pt,0.0,"[{'label': 'NEGATIVE', 'score': 0.9906399846076965}]"
"resmi meluncurkan metaverse terhubung jagat sumpah pemuda jumat  

 via",0.0,"[{'label': 'NEGATIVE', 'score': 0.9856356382369995}]"
resmi meluncurkan metaverse terhubung jagat sumpah pemuda jumat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9871779680252075}]"
gas poll infrastruktur menteri basuki menerangkan bendungan sepaku simoi dibangun penyediaan air baku balikpapan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9914880394935608}]"
menelusuri jalur logistik kri escolar pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara lokasi,0.0,"[{'label': 'NEGATIVE', 'score': 0.9819605350494385}]"
jagat melanjutkan perjalanan kota nusantara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9753566384315491}]"
kementerian pupr membangun infrastruktur dasar pendukung inti pusat pemerintahan kipp penampakannya,0.0,"[{'label': 'NEGATIVE', 'score': 0.9842379093170166}]"
wakil menteri pariwisata ekonomi kreatif angela tanoesoedibjo badan bambang susantono,0.0,"[{'label': 'NEGATIVE', 'score': 0.8626081347465515}]"
seniman air berkreasi menikmati hasilnya konser musik berolahraga pengalaman seru ayo generasi muda mari membangun bersamasama inovasi kreativitas,1.0,"[{'label': 'NEGATIVE', 'score': 0.9694291949272156}]"
ayo selamat berkumpul berkreasi bersosialisasi saudarasaudara video,1.0,"[{'label': 'NEGATIVE', 'score': 0.9744094610214233}]"
