tweets,politics,technology,topic
sensasi berada di ibu kota nusantara gimana ya rasanya,0.5163,0.5133,technology & politics
dengan metaverse bernama jagat nusantara anda bisa merasakan sensasi berada di ibu kota nusantara,0.6435,0.6426,technology & politics
metaversa memberikan sensasi berada di ibu kota nusantara ini bernama jagat nusantara,0.6308,0.5974,technology & politics
meski pembangunan ikn baru tahap awal melalui metaverse di ikn yang bernama jagat nusantara kita bisa merasakan sensasi berada di ibu kota nusantara ikn,0.5758,0.5365,technology & politics
meskipun pembangunan ikn baru tahap awalnamun kalian bisa merasakan sensasi berada di ibu kota nusantara melalui metaverse bernama jagat nusantara,0.6103,0.5723,technology & politics
metaverse baru jagat nusantara yang diluncurkan dapat memberikan sensasi berada di ibu kota nusantara,0.6411,0.6295,technology & politics
metaverse di ikn itu bernama jagat nusantara masyarakat dapat merasakan sensasi berasa di ibu kota nusantara,0.6534,0.6514,technology & politics
melalui metaverse jagat nusantara kalian bisa merasakan sensasi berada di ibu kota nusantara,0.6278,0.6232,technology & politics
nama metaverse di ibu kota nusantara atau ikn adalah jagat nusantara,0.5868,0.5843,technology & politics
meski pembangunan tahap bary namun bisa merasakan sensasi berada di ibu kota nusantara,0.4867,0.4714,neutral
wah keren sekali melalui metaverse jagat nusantara kita bisa merasakan sensasi di ibu kota nusantara semoga pembangunan ikn berjalan baik,0.5779,0.5644,technology & politics
kita bisa merasakan sensasi berada di ibu kota nusantara melalui metaverse bernama jagat nusantara,0.6468,0.6143,technology & politics
wah keren banget guys kita bisa ngerasain sensasi berada di ibu kota nusantara ikn dengan metaverse jagat nusantara,0.489,0.4521,neutral
"peran tni al sangat penting dalam pengawalan serta menjaga keamanan di wilayah perairan ibu kota nusantara
tetap semangat dan maju terus  jaga lautan indonesia kita tercinta",0.4936,0.4888,neutral
"ibu kota nusantara ikn dirancang sebagai kota yang inklusif untuk semua lapisan masyarakat

untuk itu mari bersamasama torehkan sejarah membangun peradaban baru ikn sebagai kota dunia untuk semua",0.6019,0.5565,technology & politics
"ppu  satgas ops nusantara polda kaltim regu a melaksanakan patroli sambang kamtibmas serta pengamanan di beberapa titik penting di kawasan ibu kota negara ikn
selengkapnya baca disini",0.3827,0.3606,neutral
"gambaran ibu kota negara ikn yang bernama jagat nusantara sangat menarik bukan 

kompas juga menginfokan bahwa untuk memainkan platform ini tidak ada biaya sepeserpun jadii siapa saja bisa merasakan sensasi berada di ikn nusantara",0.5623,0.5322,technology & politics
pemerintah membangun bendungan sepaku semoi untuk penyediaan air baku di ibu kota nusantara ikn,0.5561,0.5187,technology & politics
meme celetukan ngocol warganet soal ibu kota baru nusantara,0.4449,0.4439,neutral
jokowi buka ruang kreasi bagi generasi muda hingga seniman di ikn ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas ucap jokowi saat peluncuran jagat nusantara,0.5541,0.4704,politics
pemerintah menyiapkan tenaga kerja di ibu kota nusantara ikn melalui pelatihan,0.6457,0.6049,technology & politics
"menteri ketenagakerjaan ida fauziyah mengungkapkan kebutuhan tenaga kerja untuk pembangunan ibu kota nusantara ikn akan disesuaikan

jokowi gaspoll penyerapan tenaga kerja",0.4211,0.3792,neutral
"menteri pupr basuki hadimuljono menyampaikan bendungan sepaku semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan ibu kota nusantara ikn

jokowi gaspoll infrastruktur",0.4033,0.4001,neutral
ibu kota negara ikn akan pindah ke nusantara yang terletak di penajam paser utara kaltim bila sudah resmi pindah bagaimana nasib dki jakarta,0.4287,0.4091,neutral
"ikn itu ibu kota nusantara
terun nusantara itu negara mana ya",0.5643,0.5103,politics
"asosiasi pengemudi ojek online garda indonesia mendukung pembangunan ibu kota negara ikn nusantara di kalimantan timur

pembangunan ikn nusantara membutuhkan  tenaga kerja konstruksi garda indonesia siap bekerjasama dgn otorita ikn kemnaker ri dan pupr",0.4812,0.4622,neutral
"presiden joko widodo secara resmi meluncurkan platform metaverse yang terhubung dengan ibu kota nusantara ikn di djakarta theatre jakarta jumat 

pray for itaewon rest in peace kanjuruhan pare pagii",0.3834,0.3618,neutral
gimana rasanya jadi warga metaverse ibu kota negara baru jagat nusantara pt,0.5867,0.5667,technology & politics
"presiden joko widodo resmi meluncurkan metaverse yang terhubung dengan ibu kota nusantara ikn jagat nusantara tepat di hari sumpah pemuda jumat  

 via",0.5071,0.4704,technology & politics
presiden joko widodo resmi meluncurkan metaverse yang terhubung dengan ibu kota nusantara ikn jagat nusantara tepat di hari sumpah pemuda jumat,0.5152,0.4754,technology & politics
