date,id,tweets,sentiment,processed_tweets
2022-10-30,1586855500200939520,sensasi berada di ibu kota nusantara gimana ya rasanya,,sensasi gimana ya
2022-10-30,1586855495477841920,dengan metaverse bernama jagat nusantara anda bisa merasakan sensasi berada di ibu kota nusantara,,metaverse bernama jagat merasakan sensasi
2022-10-30,1586855476364341249,metaversa memberikan sensasi berada di ibu kota nusantara ini bernama jagat nusantara,,metaversa sensasi bernama jagat
2022-10-30,1586855472602259457,meski pembangunan ikn baru tahap awal melalui metaverse di ikn yang bernama jagat nusantara kita bisa merasakan sensasi berada di ibu kota nusantara ikn,,tahap metaverse bernama jagat merasakan sensasi
2022-10-30,1586855472124108801,meskipun pembangunan ikn baru tahap awalnamun kalian bisa merasakan sensasi berada di ibu kota nusantara melalui metaverse bernama jagat nusantara,,tahap awalnamun merasakan sensasi metaverse bernama jagat
2022-10-30,1586855471893270529,metaverse baru jagat nusantara yang diluncurkan dapat memberikan sensasi berada di ibu kota nusantara,,metaverse jagat diluncurkan sensasi
2022-10-30,1586855470400122880,metaverse di ikn itu bernama jagat nusantara masyarakat dapat merasakan sensasi berasa di ibu kota nusantara,,metaverse bernama jagat masyarakat merasakan sensasi berasa
2022-10-30,1586855470282809348,melalui metaverse jagat nusantara kalian bisa merasakan sensasi berada di ibu kota nusantara,,metaverse jagat merasakan sensasi
2022-10-30,1586855468139307009,nama metaverse di ibu kota nusantara atau ikn adalah jagat nusantara,,nama metaverse jagat
2022-10-30,1586855467992510465,meski pembangunan tahap bary namun bisa merasakan sensasi berada di ibu kota nusantara,,tahap bary merasakan sensasi
2022-10-30,1586855467417944065,wah keren sekali melalui metaverse jagat nusantara kita bisa merasakan sensasi di ibu kota nusantara semoga pembangunan ikn berjalan baik,,keren metaverse jagat merasakan sensasi semoga berjalan
2022-10-30,1586855466704916480,kita bisa merasakan sensasi berada di ibu kota nusantara melalui metaverse bernama jagat nusantara,,merasakan sensasi metaverse bernama jagat
2022-10-30,1586855466511892481,wah keren banget guys kita bisa ngerasain sensasi berada di ibu kota nusantara ikn dengan metaverse jagat nusantara,,keren banget guys ngerasain sensasi metaverse jagat
2022-10-30,1586722207623172096,"peran tni al sangat penting dalam pengawalan serta menjaga keamanan di wilayah perairan ibu kota nusantara
tetap semangat dan maju terus  jaga lautan indonesia kita tercinta",,"peran tni al pengawalan menjaga keamanan wilayah perairan nusantara
tetap semangat maju  jaga lautan tercinta"
2022-10-30,1586690862427541505,"ibu kota nusantara ikn dirancang sebagai kota yang inklusif untuk semua lapisan masyarakat

untuk itu mari bersamasama torehkan sejarah membangun peradaban baru ikn sebagai kota dunia untuk semua",,"dirancang inklusif lapisan masyarakat

untuk mari bersamasama torehkan sejarah membangun peradaban dunia"
2022-10-30,1586688327620517889,"ppu  satgas ops nusantara polda kaltim regu a melaksanakan patroli sambang kamtibmas serta pengamanan di beberapa titik penting di kawasan ibu kota negara ikn
selengkapnya baca disini",,"ppu  satgas ops polda kaltim regu a melaksanakan patroli sambang kamtibmas pengamanan ikn
selengkapnya baca"
2022-10-30,1586662851745222657,"gambaran ibu kota negara ikn yang bernama jagat nusantara sangat menarik bukan 

kompas juga menginfokan bahwa untuk memainkan platform ini tidak ada biaya sepeserpun jadii siapa saja bisa merasakan sensasi berada di ikn nusantara",,"gambaran bernama jagat menarik 

kompas menginfokan memainkan platform biaya sepeserpun jadii merasakan sensasi"
2022-10-30,1586644888472367106,pemerintah membangun bendungan sepaku semoi untuk penyediaan air baku di ibu kota nusantara ikn,,membangun bendungan sepaku semoi penyediaan air baku
2022-10-30,1586642425661239296,meme celetukan ngocol warganet soal ibu kota baru nusantara,,meme celetukan ngocol warganet
2022-10-30,1586630271784329216,jokowi buka ruang kreasi bagi generasi muda hingga seniman di ikn ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas ucap jokowi saat peluncuran jagat nusantara,,buka ruang kreasi generasi muda seniman ayo generasi muda mari membangun bersamasama inovasi kreativitas peluncuran jagat
2022-10-30,1586624978790756354,pemerintah menyiapkan tenaga kerja di ibu kota nusantara ikn melalui pelatihan,,tenaga kerja pelatihan
2022-10-30,1586621339909394432,"menteri ketenagakerjaan ida fauziyah mengungkapkan kebutuhan tenaga kerja untuk pembangunan ibu kota nusantara ikn akan disesuaikan

jokowi gaspoll penyerapan tenaga kerja",,"menteri ketenagakerjaan ida fauziyah kebutuhan tenaga kerja disesuaikan

jokowi gaspoll penyerapan tenaga kerja"
2022-10-30,1586603490314686465,"menteri pupr basuki hadimuljono menyampaikan bendungan sepaku semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan ibu kota nusantara ikn

jokowi gaspoll infrastruktur",,"menteri pupr basuki hadimuljono bendungan sepaku semoi diproyeksikan infrastruktur penyediaan kebutuhan air baku pengendalian banjir ikn

jokowi gaspoll infrastruktur"
2022-10-30,1586602386059141121,ibu kota negara ikn akan pindah ke nusantara yang terletak di penajam paser utara kaltim bila sudah resmi pindah bagaimana nasib dki jakarta,,pindah terletak penajam paser utara kaltim resmi pindah nasib dki jakarta
2022-10-30,1586602266571571205,"ikn itu ibu kota nusantara
terun nusantara itu negara mana ya",,"nusantara
terun ya"
2022-10-30,1586591235698876416,"asosiasi pengemudi ojek online garda indonesia mendukung pembangunan ibu kota negara ikn nusantara di kalimantan timur

pembangunan ikn nusantara membutuhkan  tenaga kerja konstruksi garda indonesia siap bekerjasama dgn otorita ikn kemnaker ri dan pupr",,"asosiasi pengemudi ojek online garda mendukung timur

pembangunan membutuhkan  tenaga kerja konstruksi garda bekerjasama dgn kemnaker ri pupr"
2022-10-30,1586571092772016128,"presiden joko widodo secara resmi meluncurkan platform metaverse yang terhubung dengan ibu kota nusantara ikn di djakarta theatre jakarta jumat 

pray for itaewon rest in peace kanjuruhan pare pagii",,"resmi meluncurkan platform metaverse terhubung djakarta theatre jakarta jumat 

pray for itaewon rest in peace kanjuruhan pare pagii"
2022-10-30,1586564032718249984,gimana rasanya jadi warga metaverse ibu kota negara baru jagat nusantara pt,,gimana warga metaverse jagat pt
2022-10-30,1586560004953321474,"presiden joko widodo resmi meluncurkan metaverse yang terhubung dengan ibu kota nusantara ikn jagat nusantara tepat di hari sumpah pemuda jumat  

 via",,"resmi meluncurkan metaverse terhubung jagat sumpah pemuda jumat  

 via"
2022-10-30,1586555041409703938,presiden joko widodo resmi meluncurkan metaverse yang terhubung dengan ibu kota nusantara ikn jagat nusantara tepat di hari sumpah pemuda jumat,,resmi meluncurkan metaverse terhubung jagat sumpah pemuda jumat
2022-10-30,1586552425137127424,presiden jokowi gas poll infrastruktur menteri basuki menerangkan bendungan sepaku simoi dibangun untuk penyediaan air baku di ibu kota nusantara dan balikpapan,,gas poll infrastruktur menteri basuki menerangkan bendungan sepaku simoi dibangun penyediaan air baku balikpapan
2022-10-30,1586546373335228416,presiden joko widodo menelusuri jalur logistik ikn dengan menggunakan kri escolar untuk menuju pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara kalimantan timur yang merupakan lokasi ibu kota nusantara,,menelusuri jalur logistik kri escolar pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara lokasi
2022-10-30,1586538666821820416,jagat memungkinkan anda untuk melanjutkan perjalanan ke ibu kota nusantara,,jagat melanjutkan perjalanan kota nusantara
2022-10-30,1586531295299002370,kementerian pupr mulai membangun infrastruktur dasar pendukung kawasan inti pusat pemerintahan kipp ikn nusantara ibu kota baru begini penampakannya,,kementerian pupr membangun infrastruktur dasar pendukung inti pusat pemerintahan kipp penampakannya
2022-10-30,1586525121971630080,wakil menteri pariwisata dan ekonomi kreatif angela tanoesoedibjo dan kepala badan otorita ibu kota nusantara bambang susantono,,wakil menteri pariwisata ekonomi kreatif angela tanoesoedibjo badan bambang susantono
2022-10-30,1586524724699738112,para seniman tanah air juga dapat berkreasi dan menikmati hasilnya seperti konser musik kita juga bisa berolahraga akan menjadi pengalaman bersama yang seru ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas ungkapnya,,seniman air berkreasi menikmati hasilnya konser musik berolahraga pengalaman seru ayo generasi muda mari membangun bersamasama inovasi kreativitas
2022-10-30,1586524408520536065,ayo ikut saya masa depan kita mulai dari sini selamat datang di ibu kota nusantara di sini kita akan berkumpul berkreasi bersosialisasi dengan saudarasaudara kita ucap presiden dalam video tersebut,,ayo selamat berkumpul berkreasi bersosialisasi saudarasaudara video
2022-10-30,1586524237833330688,setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital dalam video tersebut presiden jokowi juga mengajak para generasi muda untuk bersatu bertepatan dengan momen hari sumpah pemuda,,layar menampilkan versi avatar mengajak peserta memasuki versi digital video mengajak generasi muda bersatu bertepatan momen sumpah pemuda
2022-10-30,1586519004411150336,menteri pupr basuki hadimuljono menyampaikan bendungan sepaku semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan ibu kota nusantara ikn,,menteri pupr basuki hadimuljono bendungan sepaku semoi diproyeksikan infrastruktur penyediaan kebutuhan air baku pengendalian banjir
2022-10-30,1586518789784367105,menteri ketenagekerjaan ida fauziyah mengungkapkan kebutuhan tenaga kerja untuk pembangunan ibu kota nusantara ikn akan di sesuaikan,,menteri ketenagekerjaan ida fauziyah kebutuhan tenaga kerja sesuaikan
2022-10-30,1586510986785468416,"metaverse ikn nusantara ini adalah hasil kolaborasi berbagai anak nusa untuk mendukung pembangunan ibu kota negara baru
 
rest in peace 
malam minggu malam minggu
kanjuruhan",,"metaverse hasil kolaborasi anak nusa mendukung baru
 
rest in peace 
malam minggu malam minggu
kanjuruhan"
2022-10-29,1586493522462486528,nah ini salah satunya ayo ikut saya masa depan kita mulai dari sini selamat datang di ibu kota nusantara,,salah satunya ayo selamat
2022-10-29,1586493226323566592,untuk pembangunan ibu kota negara ikn nusantara tahap  ada komitmen investasi sebesar rp  triliun,,tahap  komitmen investasi rp  triliun
2022-10-29,1586493082807128067,pemerintah optimis ekonomi   memprediksi pertumbuhan akan naik menjadi  pada  ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas,,optimis ekonomi   memprediksi pertumbuhan   ayo generasi muda mari membangun bersamasama inovasi kreativitas
2022-10-29,1586493081913888770,setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital,,layar menampilkan versi avatar mengajak peserta memasuki versi digital
2022-10-29,1586441842215747586,liat ibu kota nusantara versi metaverse jagat nusantara,,liat versi metaverse jagat
2022-10-29,1586422522580733952,jokowi gas pol infrastruktur  bendungan sepaku semoi dibangun untuk ibu kota nusantara amp balikpapan,,gas pol infrastruktur  bendungan sepaku semoi dibangun amp balikpapan
2022-10-29,1586411656028246016,presiden joko widodo meninjau pembangunan infrastruktur kawasan ibu kota nusantara ikn di kabupaten penajam paser utara provinsi kalimantan timur pada selasa  oktober,,meninjau infrastruktur kabupaten penajam paser utara provinsi selasa  oktober
2022-10-29,1586403699194474496,menunjang pembangunan infrastruktur di ibu kota nusantara ikn pt brantas abipraya persero bendungan sepaku semoi di desa tengin baru kecamatan sepaku kabupaten penajam paser utara kalimantan timur,,menunjang infrastruktur pt brantas abipraya persero bendungan sepaku semoi desa tengin kecamatan sepaku kabupaten penajam paser utara
2022-10-29,1586389285539717120,"pemerintah menyiapkan kompetensi para calon pekerja yang akan bersamasama membangun ibu kota nusantara

 gas pol penyerapan tenaga kerja",,"kompetensi calon pekerja bersamasama membangun nusantara

 gas pol penyerapan tenaga kerja"
