source,target,source_name,target_name
1.58299e+18,377233083.0,alparezi11,AbdinegaraSetia
1548140784.0,8.87744e+17,esasuryo,OposisiCerdas
1548140784.0,1.46665e+18,esasuryo,papa_loren
1.08231e+18,1.20211e+18,MamJr4,Leonita_Lestari
1.08231e+18,419571979.0,MamJr4,RyaWiedy
1.49236e+18,50682651.0,11Riyanto,zarazettirazr
4718330419.0,101047840.0,din_bachdim,ToniSugiri
1.05173e+18,1.4811e+18,CaveMan191919,JulBayur3
1.13156e+18,1.57692e+18,benyamin_ketawa,arwahlaron
1.08475e+18,17128975.0,zainularifin__,CNNIndonesia
14119874.0,1.2315e+18,yanzero_,txtdrpemerintah
2445793909.0,384791718.0,Yusuf_suni,ichakusumaa_
1.10725e+18,8.17601e+17,BasmiKadrun,Muhammad_Saewad
61081477.0,366987179.0,translatorbali,jokowi
1309530696.0,3177957847.0,pahlawan711,HelmiFelis_
1.54857e+18,3177957847.0,herryherlamba12,HelmiFelis_
1.51662e+18,922669790.0,DionMajra,KotaNusantara
1.42804e+18,366987179.0,roder45070212,jokowi
87873048.0,9.61099e+17,setyadi27,AndrianZul
1.26884e+18,1.46665e+18,StSyafriadi,papa_loren
1.49461e+18,413888550.0,bagushape1,abangbelneg
409343156.0,1.11799e+18,DolangMas,msaid_didu
1.48804e+18,1.39955e+18,CitraFitriani51,IKNnusantaraID
1047153853.0,1.21115e+18,Kanzia_92,alextham878
1047153853.0,1.33441e+18,Kanzia_92,aLy_Bima
1047153853.0,1256945510.0,Kanzia_92,AnthonyBudiawan
1.35685e+18,1.45113e+18,Luffy_Wano21,widiamustika22
1.10725e+18,1.50688e+18,BasmiKadrun,aniblogsan6
1.48659e+18,413888550.0,indi_anjani,abangbelneg
217375028.0,82042655.0,suriansyahmutul,panca66
2509042843.0,1.38375e+18,reng_mi,Boediantar4
87873048.0,1.52653e+18,setyadi27,restyca_yah
1.44772e+18,1.36056e+18,Djoko_mulyani,TRendusara
1.54723e+18,1.11799e+18,KayanaDuris,msaid_didu
1.40261e+18,1.12655e+18,tarwotowsg96,M45Broo
26925461.0,147063992.0,arnold5508,tatakujiyati
1.42686e+18,1.05572e+18,ispeispeanjime,slamdrumk
1.55507e+18,1.55689e+18,indojudge,Indahulu1
1.48732e+18,413888550.0,ErickLarson_mp,abangbelneg
1.17611e+18,366987179.0,RenggaSatria9,jokowi
7.77147e+17,366987179.0,mahdi81265918,jokowi
1.56134e+18,366987179.0,ToruanN,jokowi
1.55706e+18,366987179.0,fdhltrr711,jokowi
1.50264e+18,366987179.0,jokoci,jokowi
1.48957e+18,1.39955e+18,RisanMarine,IKNnusantaraID
1.49708e+18,1.39955e+18,LiePradani,IKNnusantaraID
1.48659e+18,1.39955e+18,indi_anjani,IKNnusantaraID
8.00659e+17,413490364.0,pemerian,rodyaksa
1.50647e+18,109762193.0,daraayumgt,ganjarpranowo
1.5166e+18,922669790.0,namsyurdn,KotaNusantara
1.4896e+18,922669790.0,Vinazery,KotaNusantara
1.49956e+18,922669790.0,MasaiSuvi,KotaNusantara
1.5657e+18,100454455.0,Azhar05934905,EmhadiLestari
1.49708e+18,413888550.0,JunaJuni123,abangbelneg
1.49604e+18,413888550.0,indirasion,abangbelneg
1.56951e+18,413888550.0,yustaso,abangbelneg
1.51194e+18,413888550.0,juliaarrtt,abangbelneg
1.26921e+18,1.10133e+18,mas_yit26,mengeluhsajalah
1.48406e+18,413888550.0,alydrusbella1,abangbelneg
1.48439e+18,1.39955e+18,Cynthia90792266,IKNnusantaraID
1.56951e+18,1070067354.0,dertaso1,hacyem_djiwog
1.56925e+18,1070067354.0,propus19,hacyem_djiwog
2917435673.0,1.14426e+18,supari_yanto,Gendorowo3
1.42804e+18,1.47825e+18,roder45070212,Dara_Cega
749738510.0,1.46595e+18,eggony9,AdeIrsal22
230181589.0,954984702.0,masoesman,mardigu024
1.49708e+18,922669790.0,LiePradani,KotaNusantara
1.48659e+18,922669790.0,indi_anjani,KotaNusantara
1.49759e+18,922669790.0,lutfiansyahi1,KotaNusantara
1.50367e+18,413888550.0,davidxsantoso,abangbelneg
1.48962e+18,1.39955e+18,Genvine2,IKNnusantaraID
1.48554e+18,1.39955e+18,WikeHimawan,IKNnusantaraID
1.50355e+18,1.39955e+18,DefiJhon,IKNnusantaraID
1.27435e+18,1.1984e+18,gaussada,nusantara_one
424987528.0,243880064.0,WqKusuma2,NovalAssegaf
1221292279.0,1219055858.0,Uvhie6,RadarKorupsi
346396818.0,95193592.0,RyanBakkaru,NathPribady
1.32542e+18,1.50937e+18,JoyWongSo,Ria26720599
1.50355e+18,1070067354.0,DefiJhon,hacyem_djiwog
1.48406e+18,922669790.0,alydrusbella1,KotaNusantara
1.50355e+18,413888550.0,DefiJhon,abangbelneg
1.4855e+18,413888550.0,DadangSudirma,abangbelneg
1.51209e+18,1.53228e+18,SSoejoso,gomos_tiop
1.51662e+18,1.39955e+18,DionMajra,IKNnusantaraID
1.48962e+18,922669790.0,Genvine2,KotaNusantara
1.50838e+18,922669790.0,ButlerRaka,KotaNusantara
1.06902e+18,8.17601e+17,BangNtong,Muhammad_Saewad
1397331800.0,2794327166.0,antoSUR2012,MafiaWasit
8.68638e+17,600673907.0,Arifin7777246,KemenkeuRI
1.48957e+18,922669790.0,RisanMarine,KotaNusantara
1.56951e+18,922669790.0,terdaso1,KotaNusantara
1.48437e+18,922669790.0,iuytr11663393,KotaNusantara
1.49708e+18,922669790.0,AyuRikacute,KotaNusantara
1.50051e+18,255866913.0,ChabyZaina,hariankompas
1.5349e+18,3319260420.0,aviation603,geloraco
1.51662e+18,413888550.0,DionMajra,abangbelneg
1.51233e+18,413888550.0,bingobravoo,abangbelneg
1.49896e+18,413888550.0,FajarzNoels,abangbelneg
1.51194e+18,1.39955e+18,jumaallaa,IKNnusantaraID
