id,tweets,sentiment
1586855500200939520,"Sensasi berada di Ibu Kota Nusantara gimana ya rasanya 
   ",
1586855495477841920,Dengan Metaverse bernama Jagat Nusantara anda bisa merasakan sensasi berada di Ibu Kota Nusantara   ,
1586855476364341249,Metaversa memberikan sensasi berada di Ibu kota nusantara ini bernama Jagat Nusantara   ,
1586855472602259457,"Meski pembangunan IKN baru tahap awal, melalui Metaverse di IKN yang bernama Jagat Nusantara kita bisa merasakan sensasi berada di Ibu Kota Nusantara IKN  
 
 ",
1586855472124108801,"Meskipun pembangunan IKN baru tahap awal,namun kalian bisa merasakan sensasi berada di Ibu Kota Nusantara melalui metaverse bernama Jagat Nusantara
  ",
1586855471893270529,"metaverse baru, Jagat Nusantara yang diluncurkan dapat memberikan sensasi berada di Ibu Kota Nusantara   ",
1586855470400122880,"Metaverse di IKN itu bernama jagat Nusantara, masyarakat dapat merasakan sensasi berasa di ibu kota Nusantara   ",
1586855470282809348,Melalui Metaverse Jagat Nusantara kalian bisa merasakan sensasi berada di ibu kota nusantara   ,
1586855468139307009,Nama metaverse di Ibu Kota Nusantara atau IKN adalah Jagat Nusantara   ,
1586855467992510465,"Meski pembangunan tahap bary, namun bisa merasakan sensasi berada di ibu kota nusantara   ",
1586855467417944065,"Wah keren sekali Melalui metaverse Jagat Nusantara, kita bisa merasakan sensasi di Ibu Kota Nusantara Semoga pembangunan IKN berjalan baik 
  ",
1586855466704916480,Kita bisa merasakan sensasi berada di Ibu Kota Nusantara melalui metaverse bernama jagat Nusantara   ,
1586855466511892481,wah keren banget guys kita bisa ngerasain sensasi berada di Ibu Kota Nusantara IKN dengan metaverse Jagat Nusantara   ,
1586722207623172096,"Peran TNI AL sangat PENTING dalam pengawalan serta menjaga keamanan di wilayah perairan Ibu Kota Nusantara
Tetap semangat dan maju terus  jaga lautan Indonesia kita tercinta 

       ",
1586690862427541505,"Ibu Kota Nusantara IKN dirancang sebagai kota yang inklusif untuk semua lapisan masyarakat

Untuk itu, mari bersamasama torehkan sejarah membangun peradaban baru IKN sebagai kota dunia untuk semua

     ",
1586688327620517889," PPU  Satgas Ops Nusantara Polda Kaltim Regu A melaksanakan patroli sambang kamtibmas serta pengamanan di beberapa titik penting di kawasan Ibu Kota Negara IKN
selengkapnya baca disini : 



 ",
1586662851745222657,"gambaran ibu kota negara IKN yang bernama Jagat Nusantara, sangat menarik bukan 

Kompas juga menginfokan bahwa untuk memainkan platform ini tidak ada biaya sepeserpun, jadii siapa saja bisa merasakan sensasi berada di IKN Nusantara",
1586644888472367106,"Pemerintah membangun Bendungan Sepaku Semoi untuk penyediaan air baku di Ibu Kota Nusantara IKN

 
 ",
1586642425661239296,"10 Meme Celetukan Ngocol Warganet soal Ibu Kota Baru, Nusantara
",
1586630271784329216,"Jokowi buka ruang kreasi bagi generasi muda hingga seniman di IKN Ayo generasi muda, mari kita membangun Ibu Kota Nusantara bersamasama melalui inovasi dan kreativitas, ucap Jokowi saat peluncuran Jagat Nusantara
 ",
1586624978790756354,"Pemerintah menyiapkan tenaga kerja di Ibu Kota Nusantara IKN melalui pelatihan

 
 ",
1586621339909394432,"Menteri ketenagakerjaan Ida Fauziyah mengungkapkan, kebutuhan tenaga kerja untuk Pembangunan Ibu Kota Nusantara IKN akan disesuaikan

Jokowi Gaspoll Penyerapan Tenaga Kerja ",
1586603490314686465,"Menteri PUPR Basuki Hadimuljono menyampaikan, Bendungan Sepaku Semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan Ibu Kota Nusantara IKN

Jokowi gaspoll infrastruktur ",
1586602386059141121,"Ibu kota negara IKN akan pindah ke Nusantara yang terletak di Penajam, Paser Utara, Kaltim Bila sudah resmi pindah, bagaimana nasib DKI Jakarta ",
1586602266571571205,"  IkN itu ibu kota Nusantara
Terun nusantara itu negara Mana ya",
1586591235698876416,"Asosiasi Pengemudi Ojek Online Garda Indonesia mendukung pembangunan Ibu Kota Negara IKN Nusantara di Kalimantan Timur

Pembangunan IKN Nusantara membutuhkan 260000 Tenaga Kerja Konstruksi, Garda Indonesia siap bekerjasama dgn Otorita IKN, Kemnaker RI dan PUPR  ",
1586571092772016128,"Presiden Joko Widodo secara resmi meluncurkan, platform metaverse yang terhubung dengan Ibu Kota Nusantara IKN di Djakarta Theatre, Jakarta, Jumat 28102022

Pray for Itaewon Rest In Peace Kanjuruhan Pare Pagii


 ",
1586564032718249984,Gimana Rasanya Jadi Warga Metaverse Ibu Kota Negara Baru Jagat Nusantara pt1 ,
1586560004953321474,"Presiden Joko Widodo resmi meluncurkan metaverse yang terhubung dengan Ibu Kota Nusantara IKN Jagat Nusantara tepat di hari Sumpah Pemuda, Jumat 28102022 

 via ",
1586555041409703938," 
Presiden Joko Widodo resmi meluncurkan metaverse yang terhubung dengan Ibu Kota Nusantara IKN Jagat Nusantara tepat di hari Sumpah Pemuda, Jumat 28102022

",
1586552425137127424,"Presiden Jokowi gas poll Infrastruktur, Menteri Basuki menerangkan Bendungan Sepaku Simoi dibangun untuk penyediaan air baku di Ibu Kota Nusantara dan Balikpapan ",
1586546373335228416,"Presiden Joko Widodo menelusuri jalur logistik IKN dengan menggunakan KRI Escolar871 untuk menuju Pelabuhan Cita Sabut, Kecamatan Sepaku, Kabupaten Penajam Paser Utara, Kalimantan Timur, yang merupakan lokasi Ibu Kota Nusantara 



 ",
1586538666821820416,Jagat Memungkinkan Anda Untuk Melanjutkan Perjalanan Ke Ibu Kota Nusantara ,
1586531295299002370,Kementerian PUPR mulai membangun infrastruktur dasar pendukung Kawasan Inti Pusat Pemerintahan KIPP IKN Nusantara ibu kota baru Begini penampakannya ,
1586525121971630080,"Wakil Menteri Pariwisata dan Ekonomi Kreatif Angela Tanoesoedibjo, dan Kepala Badan Otorita Ibu Kota Nusantara Bambang Susantono ",
1586524724699738112,"Para seniman Tanah Air juga dapat berkreasi dan menikmati hasilnya seperti konser musik Kita juga bisa berolahraga, akan menjadi pengalaman bersama yang seru Ayo generasi muda mari kita membangun Ibu Kota Nusantara bersamasama melalui inovasi dan kreativitas, ungkapnya ",
1586524408520536065,"Ayo ikut saya Masa depan kita mulai dari sini Selamat datang di Ibu Kota Nusantara Di sini kita akan berkumpul, berkreasi, bersosialisasi dengan saudarasaudara kita, ucap Presiden dalam video tersebut ",
1586524237833330688,"Setelah itu, layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital Dalam video tersebut, Presiden Jokowi juga mengajak para generasi muda untuk bersatu, bertepatan dengan momen Hari Sumpah Pemuda ",
1586519004411150336,"Menteri PUPR Basuki Hadimuljono menyampaikan, Bendungan Sepaku Semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan Ibu Kota Nusantara IKN

    ",
1586518789784367105,"Menteri Ketenagekerjaan Ida Fauziyah mengungkapkan, kebutuhan tenaga kerja untuk pembangunan Ibu Kota Nusantara IKN akan di sesuaikan

      ",
1586510986785468416,"Metaverse IKN Nusantara ini adalah hasil kolaborasi berbagai anak nusa untuk mendukung pembangunan ibu kota negara baru
 
Rest In Peace 
Malam Minggu Malam Minggu
Kanjuruhan ",
1586493522462486528,"Nah, ini salah satunya Ayo ikut saya Masa depan kita mulai dari sini Selamat datang di Ibu Kota Nusantara   ",
1586493226323566592,"Untuk pembangunan Ibu Kota Negara IKN Nusantara Tahap 1, ada komitmen investasi sebesar Rp 200 Triliun    ",
1586493122921791488,"Nah, ini salah satunya Ayo ikut saya Masa depan kita mulai dari sini Selamat datang di Ibu Kota Nusantara    ",
1586493082807128067,"Pemerintah optimis ekonomi 2022 5,8 memprediksi pertumbuhan akan naik menjadi 5,3 pada 2023 Ayo generasi muda mari kita membangun Ibu Kota Nusantara bersamasama melalui inovasi dan kreativitas  
 ",
1586493081913888770,"Setelah itu, layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital  
 ",
