tweets,politics,technology,topic,translated_tweets
sensasi berada di ibu kota nusantara gimana ya rasanya,0.5163,0.5133,technology & politics,how is the sensation of being in the new capital
dengan metaverse bernama jagat nusantara anda bisa merasakan sensasi berada di ibu kota nusantara,0.6435,0.6426,technology & politics,with nusantara metaverse you can experience the sensation of being in the new capital
metaversa memberikan sensasi berada di ibu kota nusantara ini bernama jagat nusantara,0.6308,0.5974,technology & politics,metaverse name is jagat nusantara
meski pembangunan ikn baru tahap awal melalui metaverse di ikn yang bernama jagat nusantara kita bisa merasakan sensasi berada di ibu kota nusantara ikn,0.5758,0.5365,technology & politics,"although capital city construction just started, we can experienced being in it through metaverse"
meskipun pembangunan ikn baru tahap awalnamun kalian bisa merasakan sensasi berada di ibu kota nusantara melalui metaverse bernama jagat nusantara,0.6103,0.5723,technology & politics,"construction of capital city is not completed yet, but we can experience it through metaverse"
metaverse baru jagat nusantara yang diluncurkan dapat memberikan sensasi berada di ibu kota nusantara,0.6411,0.6295,technology & politics,metaverse is launched
metaverse di ikn itu bernama jagat nusantara masyarakat dapat merasakan sensasi berasa di ibu kota nusantara,0.6534,0.6514,technology & politics,metaverse called jagat nusantara can give people sensation of being in the new capital
melalui metaverse jagat nusantara kalian bisa merasakan sensasi berada di ibu kota nusantara,0.6278,0.6232,technology & politics,through metaverse we can experience nusantara
nama metaverse di ibu kota nusantara atau ikn adalah jagat nusantara,0.5868,0.5843,technology & politics,name of the metaverse is jagat nusantara
meski pembangunan tahap bary namun bisa merasakan sensasi berada di ibu kota nusantara,0.4867,0.4714,neutral,"although construction not yet completed, we can experience the metaverse"
wah keren sekali melalui metaverse jagat nusantara kita bisa merasakan sensasi di ibu kota nusantara semoga pembangunan ikn berjalan baik,0.5779,0.5644,technology & politics,"metaverse is very cool, hope new capital construction goes on smoothly"
kita bisa merasakan sensasi berada di ibu kota nusantara melalui metaverse bernama jagat nusantara,0.6468,0.6143,technology & politics,we can experience the sensation of being in the new capital on metaverse
wah keren banget guys kita bisa ngerasain sensasi berada di ibu kota nusantara ikn dengan metaverse jagat nusantara,0.489,0.4521,neutral,"this is so cool guys, we can experience the new capital on metaverse"
"peran tni al sangat penting dalam pengawalan serta menjaga keamanan di wilayah perairan ibu kota nusantara
tetap semangat dan maju terus  jaga lautan indonesia kita tercinta",0.4936,0.4888,neutral,the indonesian army (tni) holds an important role in guarding the seas around nusantara 
"ibu kota nusantara ikn dirancang sebagai kota yang inklusif untuk semua lapisan masyarakat

untuk itu mari bersamasama torehkan sejarah membangun peradaban baru ikn sebagai kota dunia untuk semua",0.6019,0.5565,technology & politics,"the new capital is designed as an inclusive city for the people, we are building a new civilization with nusantara as a global city"
"ppu  satgas ops nusantara polda kaltim regu a melaksanakan patroli sambang kamtibmas serta pengamanan di beberapa titik penting di kawasan ibu kota negara ikn
selengkapnya baca disini",0.3827,0.3606,neutral,the police squad of east kalimantan is patroling the new capital city location
"gambaran ibu kota negara ikn yang bernama jagat nusantara sangat menarik bukan 

kompas juga menginfokan bahwa untuk memainkan platform ini tidak ada biaya sepeserpun jadii siapa saja bisa merasakan sensasi berada di ikn nusantara",0.5623,0.5322,technology & politics,"jagat nusantara is very attractive, and this platform is free for public enjoyment"
pemerintah membangun bendungan sepaku semoi untuk penyediaan air baku di ibu kota nusantara ikn,0.5561,0.5187,technology & politics,the government builds a new dam in nusantara
meme celetukan ngocol warganet soal ibu kota baru nusantara,0.4449,0.4439,neutral,netizens are making memes of the new capital
jokowi buka ruang kreasi bagi generasi muda hingga seniman di ikn ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas ucap jokowi saat peluncuran jagat nusantara,0.5541,0.4704,politics,jokowi invites young generations to contribute to the new capital through innovations
pemerintah menyiapkan tenaga kerja di ibu kota nusantara ikn melalui pelatihan,0.6457,0.6049,technology & politics,the government is training new workforces
"menteri ketenagakerjaan ida fauziyah mengungkapkan kebutuhan tenaga kerja untuk pembangunan ibu kota nusantara ikn akan disesuaikan

jokowi gaspoll penyerapan tenaga kerja",0.4211,0.3792,neutral,minister fauziah expressed that the number of workforce will be adjusted
"menteri pupr basuki hadimuljono menyampaikan bendungan sepaku semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan ibu kota nusantara ikn

jokowi gaspoll infrastruktur",0.4033,0.4001,neutral,minister muljono said that sepaku dam will provide clean water
ibu kota negara ikn akan pindah ke nusantara yang terletak di penajam paser utara kaltim bila sudah resmi pindah bagaimana nasib dki jakarta,0.4287,0.4091,neutral,"indonesian capital is relocating to penajam, how about jakarta"
"ikn itu ibu kota nusantara
terun nusantara itu negara mana ya",0.5643,0.5103,politics,ibu kota nusantara is the name of the new capital
"asosiasi pengemudi ojek online garda indonesia mendukung pembangunan ibu kota negara ikn nusantara di kalimantan timur

pembangunan ikn nusantara membutuhkan  tenaga kerja konstruksi garda indonesia siap bekerjasama dgn otorita ikn kemnaker ri dan pupr",0.4812,0.4622,neutral,construction of new capital will absorb large workforce
"presiden joko widodo secara resmi meluncurkan platform metaverse yang terhubung dengan ibu kota nusantara ikn di djakarta theatre jakarta jumat 

pray for itaewon rest in peace kanjuruhan pare pagii",0.3834,0.3618,neutral,"metaverse is launched in jakarta theatre, pray for itaewon"
gimana rasanya jadi warga metaverse ibu kota negara baru jagat nusantara pt,0.5867,0.5667,technology & politics,what does it feel like being a netizen of nusantara metaverse
"presiden joko widodo resmi meluncurkan metaverse yang terhubung dengan ibu kota nusantara ikn jagat nusantara tepat di hari sumpah pemuda jumat  

 via",0.5071,0.4704,technology & politics,president launched metaverse during national youth day celebration
presiden joko widodo resmi meluncurkan metaverse yang terhubung dengan ibu kota nusantara ikn jagat nusantara tepat di hari sumpah pemuda jumat,0.5152,0.4754,technology & politics,president launched metaverse during national youth day celebration
presiden jokowi gas poll infrastruktur menteri basuki menerangkan bendungan sepaku simoi dibangun untuk penyediaan air baku di ibu kota nusantara dan balikpapan,0.5572,0.5258,technology & politics,president commands full speed on infrastructure construction
presiden joko widodo menelusuri jalur logistik ikn dengan menggunakan kri escolar untuk menuju pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara kalimantan timur yang merupakan lokasi ibu kota nusantara,0.4445,0.4211,neutral,president joko widodo traced the logistics route to go to the port where new capital is located
jagat memungkinkan anda untuk melanjutkan perjalanan ke ibu kota nusantara,0.5116,0.4745,technology & politics,jagat enables you to continue your journey to the new capital
kementerian pupr mulai membangun infrastruktur dasar pendukung kawasan inti pusat pemerintahan kipp ikn nusantara ibu kota baru begini penampakannya,0.5072,0.4894,technology & politics,infrastructure construction for new capital is starting
wakil menteri pariwisata dan ekonomi kreatif angela tanoesoedibjo dan kepala badan otorita ibu kota nusantara bambang susantono,0.5093,0.4335,politics,vice minster of tourism and creative economy and chief of nusantara authority body
para seniman tanah air juga dapat berkreasi dan menikmati hasilnya seperti konser musik kita juga bisa berolahraga akan menjadi pengalaman bersama yang seru ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas ungkapnya,0.5172,0.4586,politics,"artists can create, we can also enjoy music concert and do sports here. Come, young generations, let us build the new capital"
ayo ikut saya masa depan kita mulai dari sini selamat datang di ibu kota nusantara di sini kita akan berkumpul berkreasi bersosialisasi dengan saudarasaudara kita ucap presiden dalam video tersebut,0.4964,0.4897,neutral,come follow me to socialize and create
setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital dalam video tersebut presiden jokowi juga mengajak para generasi muda untuk bersatu bertepatan dengan momen hari sumpah pemuda,0.5512,0.4294,politics,president jokowi invite indonesian youth to unite and contribute
menteri pupr basuki hadimuljono menyampaikan bendungan sepaku semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan ibu kota nusantara ikn,0.4504,0.4502,neutral,sepaku dam is used for flood control and water suply
menteri ketenagekerjaan ida fauziyah mengungkapkan kebutuhan tenaga kerja untuk pembangunan ibu kota nusantara ikn akan di sesuaikan,0.4899,0.4618,neutral,minister fauziah expressed that the number of workforce will be adjusted
"metaverse ikn nusantara ini adalah hasil kolaborasi berbagai anak nusa untuk mendukung pembangunan ibu kota negara baru
 
rest in peace 
malam minggu malam minggu
kanjuruhan",0.5179,0.5046,technology & politics,metaverse is the result of citizens collaboration
nah ini salah satunya ayo ikut saya masa depan kita mulai dari sini selamat datang di ibu kota nusantara,0.5572,0.5455,technology & politics,"come follow me, our future starts here"
untuk pembangunan ibu kota negara ikn nusantara tahap  ada komitmen investasi sebesar rp  triliun,0.4911,0.477,neutral,construction of new capital require large investment
pemerintah optimis ekonomi   memprediksi pertumbuhan akan naik menjadi  pada  ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas,0.6045,0.5807,technology & politics,the government is optimistic about economic growth
setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital,0.5792,0.4534,politics,president jokowi invite people to the new capital
liat ibu kota nusantara versi metaverse jagat nusantara,0.6359,0.6322,technology & politics,looking at metaverse version of new capital
jokowi gas pol infrastruktur  bendungan sepaku semoi dibangun untuk ibu kota nusantara amp balikpapan,0.5551,0.5481,technology & politics,jokowi speeds up construction of new capital infrastructure
presiden joko widodo meninjau pembangunan infrastruktur kawasan ibu kota nusantara ikn di kabupaten penajam paser utara provinsi kalimantan timur pada selasa  oktober,0.4809,0.4346,neutral,on tuesday in october the president visited the new capital and observed the construction of infrastructure
menunjang pembangunan infrastruktur di ibu kota nusantara ikn pt brantas abipraya persero bendungan sepaku semoi di desa tengin baru kecamatan sepaku kabupaten penajam paser utara kalimantan timur,0.4277,0.4174,neutral,brantas supports infrastructure construction in new capital
"pemerintah menyiapkan kompetensi para calon pekerja yang akan bersamasama membangun ibu kota nusantara

 gas pol penyerapan tenaga kerja",0.6093,0.5634,technology & politics,the government is training new workforces' competencies
"bendungan sepaku nantinya sangat berperan penting untuk ibu kota nusantara amp balikpapan

 gas pol infrastruktur",0.5297,0.523,technology & politics,sepaku dam is very important for the new capital
setibanya di pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara presiden dan rombongan akan menuju titik nol  ibu kota nusantara ikn yang ada di kabupaten penajam paser utara,0.3364,0.3117,neutral,"arriving at the port, president will continue journey to penajam paser utara"
jagat hadirkan dunia virtual ibu kota nusantara,0.5985,0.5935,technology & politics,jagat presents virtual nusantara
presiden  amp para pemuda memasuki ibu kota nusantara ikn versi digitallalu mengajak mereka bersatu di hari sumpah pemuda adegan itu tampil di layar saat presiden meluncurkan platform digital berbasis interaksi sosial di dunia virtual jagat nusantara jumat,0.575,0.5328,technology & politics,president invites youths to visit the digital new capital and launched the digital platform
presiden jokowi mengajak para pemuda memasuki ibu kota nusantara versi digitallalu mengajak mereka bersatu di hari sumpah pemuda itu adalah adegan di layar saat presiden meluncurkan platform digital berbasis interaksi sosial di dunia virtual jagat nusantarajumat,0.5787,0.5177,politics,president invites youths to visit the digital new capital 
tenaga kerja di ibu kota nusantara disesuaikan dengan kebutuhan pemerintah juga menyiapkan melalui pelatihanpelatihan baik di balai pelatihan vokasi samarinda maupun balai pelatihan vokasi lainnya,0.478,0.447,neutral,the number of workforce in new capital will be adjusted as needed
para seniman tanah air juga dapat berkreasi dan menikmati hasilnya seperti konser musik kita juga bisa berolahraga akan menjadi pengalaman bersama yang seru ayo generasi muda mari kita membangun ibu kota nusantara bersama melalui inovasi dan kreativitas ungkap presiden,0.5299,0.4764,politics,"artists can create, we can also enjoy music concert and do sports here. Come, young generations, let us build the new capital"
"dengan mengucapkan bismillahirahmanirrahim pada sore hari ini secara resmi saya luncurkan jagat nusantara ujar presiden 

setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital",0.5086,0.5038,technology & politics,"with bismillah on this afternoon I officially launced jagat nusantara, said the president avatar version"
presiden  meluncurkan platform dunia digital atau metaverse yang terhubung dengan ibu kota nusantara ikn platform dunia digital ini bernama jagat nusantara platform ini diluncurkan bertepatan dengan hari sumpah pemuda yaitu pada tanggal  oktober,0.6215,0.4899,politics,president launched digital metaverse of new capital on the celebration of national youth day
