location,tweet_counts
Central Borneo,57
East Borneo,24
East Nusa Tenggara,15
Cipondoh,14
Bali,13
South Borneo,12
West Papua,11
West Borneo,11
Mandonga,9
West Java,8
Bangka Belitung,8
Kota Jambi,8
Medan Johor,7
Moluccas,7
Balikpapan Selatan,6
South Sumatra,6
Ampenan,6
Ilir Barat I,6
Yogyakarta,6
Kota Banda Aceh,5
North Moluccas,4
West Sumatra,4
West Nusa Tenggara,4
Medan Baru,4
Taktakan,4
Bengkulu,4
Kota Selatan,4
Sumurbandung,3
Cibeunying Kidul,3
Rambutan,3
Senapelan,3
Banten,3
Hotel Mutiara,3
South East Sulawesi,3
Padang Barat,3
Nongsa,3
Pasar Minggu,3
Bukit Mas Sport Center,3
Campaka,3
Berbah,2
Brimob Tarakan,2
Indonesia,2
Pamulang,2
Medan Sunggal,2
Ilir Timur I,2
Senen,2
Lueng Bata,2
Pauh,2
Aula Dekanat FKIP UNIB,2
Kepahiang,2
